	Chiroderma_villosum	Carollia_brevicauda	Sturnira_ludovici	Artibeus_jamaicensis	Hsunycteris_thomasi	Anoura_geoffroyi	Glossophaga_soricina	Noctilio_leporinus	Mormoops_blainvillei	Macrotus_waterhousi	Pteronotus_pusillus	Desmodus_rotundus
sp|Q9UMD9|COHA1_HUMAN	11.2245649	11.46811857	12.58649539	1.443088467	7.566528107	1.443088467	1.443088467	11.26852253	12.62676223	9.743858918	1.443088467	8.799872126
sp|Q5E9E6|RL10A_BOVIN	9.652086753	10.539732	1.443088467	10.41287591	11.04841548	11.38954928	1.443088467	13.43292606	6.983403615	1.443088467	2.819512216	1.443088467
sp|P62906|RL10A_HUMAN	9.652086753	10.539732	1.443088467	10.41287591	11.04841548	11.38954928	1.443088467	13.43292606	6.983403615	1.443088467	2.819512216	1.443088467
sp|P62907|RL10A_RAT	9.652086753	10.539732	1.443088467	10.41287591	11.04841548	11.38954928	1.443088467	13.43292606	6.983403615	1.443088467	2.819512216	1.443088467
sp|P22732|GTR5_HUMAN	10.34764835	11.15966531	9.678634683	10.90441328	1.443088467	9.653450523	11.27615672	1.443088467	1.443088467	1.443088467	1.443088467	1.443088467
sp|Q28985|IBP5_PIG	11.09782417	11.47753365	13.03246149	11.89827196	13.03812628	11.87187464	1.443088467	5.882951428	1.443088467	11.36954453	10.75984134	1.443088467
sp|Q02878|RL6_HUMAN	7.485024877	11.70520797	12.9515833	12.02388231	2.36178092	12.14417054	12.60185921	11.54765234	2.198175254	3.27884561	1.443088467	11.82269993
sp|P31725|S10A9_MOUSE	2.373284723	3.865542235	3.176433042	2.179230643	3.464695486	1.443088467	2.784115954	3.305540303	15.23981977	14.92091674	4.351894623	3.48612693
sp|P40239|CD9_FELCA	12.57990258	1.443088467	1.443088467	12.0634343	2.559309132	1.443088467	1.443088467	9.000303276	9.278713586	1.443088467	10.10614137	1.443088467
sp|Q076A5|MYH4_CANLF	7.085816128	14.65794749	15.16863551	2.692581597	14.50603428	15.47337136	16.78634173	11.52662923	3.813108572	11.74927055	15.22549036	13.00607828
